name
Atlantic (New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland and Labrador)
Quebec
Ontario and Nunavut
Prairies (Alberta, Saskatchewan, and Manitoba) and the Northwest Territories
British Columbia and Yukon
